t,log_t,vth_average
8.58651948484544e-06,-11.665200631440745,1.0099424837864939
9.117425196146856e-06,-11.605213444649317,1.0109560710139742
9.681153059967386e-06,-11.54522625785789,1.0119714088236917
1.0279732238308972e-05,-11.485239071066461,1.0130025018062652
1.0915317341936491e-05,-11.425251884275033,1.0141443691972802
1.159019618598922e-05,-11.365264697483605,1.0154043205929066
1.2306798025067039e-05,-11.305277510692177,1.0167696418624166
1.3067702297433879e-05,-11.245290323900749,1.018227618875082
1.3875647909813522e-05,-11.18530313710932,1.0197655375001757
1.4733543096198819e-05,-11.125315950317892,1.0213706836069698
1.5644475886161462e-05,-11.065328763526464,1.0230303430647365
1.661172522034346e-05,-11.005341576735036,1.024731801742748
1.763877275314101e-05,-10.945354389943608,1.0264623455102766
1.8729315385065008e-05,-10.885367203152178,1.0282092602365946
1.9887278569888773e-05,-10.82538001636075,1.0299598317909746
2.1116830444483154e-05,-10.765392829569322,1.0317596534728877
2.2422396832199225e-05,-10.705405642777894,1.0336739422768007
2.38086771738044e-05,-10.645418455986466,1.035681927394111
2.5280661443315865e-05,-10.585431269195038,1.037762194303189
2.6843648109620557e-05,-10.52544408240361,1.0398933284824048
2.850326320853533e-05,-10.465456895612181,1.0420539154101283
3.026548059395796e-05,-10.405469708820753,1.0442225405647299
3.213664344100388e-05,-10.345482522029325,1.0463777894245796
3.412348707853008e-05,-10.285495335237897,1.0484982474680475
3.623316323323275e-05,-10.225508148446469,1.0505625001735042
3.8473265772586375e-05,-10.16552096165504,1.0525491330193193
4.085185803928704e-05,-10.105533774863613,1.0544385867146584
4.3377501875591475e-05,-10.045546588072183,1.0562427182736134
4.6059288442025704e-05,-9.985559401280755,1.057981226155334
4.890687094139771e-05,-9.925572214489327,1.0596701056373725
5.1930499365904034e-05,-9.865585027697898,1.0613253519972798
5.514105739240504e-05,-9.80559784090647,1.0629629605126072
5.855010155867457e-05,-9.745610654115042,1.064598926460906
6.216990286164057e-05,-9.685623467323614,1.0662492451197272
6.601349092735134e-05,-9.625636280532186,1.0679299117666223
7.009470091165881e-05,-9.565649093740758,1.0696569216791425
7.442822330044037e-05,-9.50566190694933,1.071446270134839
7.902965678861642e-05,-9.445674720157902,1.0733139524112638
8.391556442830471e-05,-9.385687533366474,1.0752965767113376
8.91035332482185e-05,-9.325700346575045,1.0774264028354406
9.461223755891124e-05,-9.265713159783617,1.0796713874461614
0.00010046150617173805,-9.205725972992187,1.0819977998177581
0.00010667239377348995,-9.14573878620076,1.0843719092244886
0.00011326725671361986,-9.085751599409331,1.0867599849406109
0.00012026983347685593,-9.025764412617903,1.0891282962403832
0.00012770533013086948,-8.965777225826475,1.091443112398064
0.00013560051105656874,-8.905790039035047,1.093670702687911
0.00014398379528760653,-8.845802852243619,1.0957773363841825
0.00015288535880587914,-8.78581566545219,1.0977292827611367
0.00016233724316123434,-8.725828478660762,1.0994956000554463
0.00017237347080636888,-8.665841291869334,1.1011210513787448
0.00018303016756206856,-8.605854105077906,1.1026460604390096
0.0001943456926536099,-8.545866918286478,1.1040885657548118
0.00020636077678639418,-8.48587973149505,1.105466505844722
0.00021911866875782372,-8.425892544703622,1.1067978192273114
0.00023266529113315527,-8.365905357912194,1.1081004444211506
0.00024704940554569295,-8.305918171120764,1.1093923199448108
0.0002623227882163234,-8.245930984329336,1.1106913843168629
0.00027854041632418853,-8.185943797537908,1.1120155760558779
0.00029576066589933795,-8.12595661074648,1.1133828336804263
0.0003140455219496885,-8.065969423955051,1.1148110957090793
0.0003334608015786506,-8.005982237163623,1.1163014283283565
0.0003540763908965421,-7.945995050372195,1.1178121752601577
0.00037596649657856276,-7.886007863580767,1.1193402402703072
0.00039920991297482224,-7.826020676789339,1.120885742019073
0.00042389030573389616,-7.766033489997911,1.122448799166723
0.00045009651296082397,-7.706046303206483,1.1240295303735253
0.0004779228649935804,-7.646059116415055,1.1256280542997483
0.0005074695239490686,-7.5860719296236265,1.1272444896056595
0.0005388428442608456,-7.526084742832198,1.1288789549515272
0.0005721557555063507,-7.4660975560407685,1.1305315689976196
0.0006075281689016347,-7.40611036924934,1.1322024504042043
0.0006450874089267985,-7.346123182457912,1.1338916875554432
0.0006849686716357755,-7.286135995666484,1.1355975483251917
0.0007273155113001787,-7.226148808875056,1.1373200102304344
0.0007722803571388994,-7.166161622083628,1.1390605279727644
0.0008200250619934502,-7.1061744352922,1.1408205562537737
0.0008707214849240315,-7.046187248500772,1.1426015497750548
0.0009245521098233994,-6.986200061709344,1.1444049632382
0.0009817107022752642,-6.9262128749179155,1.1462322513448022
0.0010424030070216041,-6.866225688126487,1.1480848687964533
0.001106847488549463,-6.806238501335059,1.1499642702947463
0.0011752761174629992,-6.746251314543631,1.1518719105412731
0.0012479352054713684,-6.686264127752203,1.1538092442376264
0.0013250862919980165,-6.626276940960773,1.1557833672328381
0.0014070070856027526,-6.566289754169345,1.157816372966487
0.0014939924636053292,-6.506302567377917,1.1599020528055175
0.0015863555335086667,-6.446315380586489,1.1620308398060457
0.0016844287600423966,-6.386328193795061,1.164193167024188
0.0017885651618835478,-6.3263410070036326,1.1663794675160615
0.0018991395823620264,-6.266353820212204,1.1685801743377826
0.0020165500387248443,-6.206366633420776,1.1707857205454675
0.0021412191548158327,-6.146379446629348,1.1729865391952328
0.002273595682327827,-6.08639225983792,1.1751730633431952
0.002414156116103136,-6.026405073046492,1.1773357260454713
0.0025634064092966394,-5.966417886255064,1.1794649641277053
0.0027218837945753114,-5.906430699463636,1.181561866296726
0.002890158717909651,-5.846443512672208,1.1836370020114249
0.003068836891917798,-5.786456325880778,1.1856960325367094
0.0032585614761533907,-5.72646913908935,1.1877446191374859
0.003460015392185286,-5.6664819522979215,1.1897884230786613
0.0036739237818022613,-5.606494765506493,1.1918331056251426
0.0039010566171911914,-5.546507578715065,1.1938843280418368
0.004142231472484106,-5.486520391923637,1.1959477515936505
0.0043983164666504485,-5.426533205132209,1.198029037545491
0.004670233388327573,-5.366546018340781,1.200133847162265
0.004958961013837468,-5.306558831549353,1.2022678417088795
0.005265538630333026,-5.246571644757925,1.2044342748894945
0.00559106977675558,-5.186584457966497,1.2066203434387157
0.005936726216069429,-5.1265972711750685,1.2088234094423556
0.0063037521530716015,-5.06661008438364,1.2110437081869592
0.006693468712959005,-5.006622897592212,1.21328147495907
0.0071072786967737835,-4.946635710800784,1.215536945045232
0.007546671630844293,-4.886648524009354,1.21781035373199
